cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
0	0	non	69	110	0	na
160	160	non	69	0	0	na
192	32	non	70	110	0	na
352	160	non	70	0	0	na
384	32	non	72	110	0	na
544	160	non	72	0	0	na
576	32	non	70	110	0	na
670	94	non	70	0	0	na
672	2	non	69	110	0	na
766	94	non	69	0	0	na
768	2	non	74	110	0	na
862	94	non	74	0	0	na
864	2	non	72	110	0	na
958	94	non	72	0	0	na
960	2	non	70	110	0	na
1120	160	non	70	0	0	na
1152	32	non	69	110	0	na
1312	160	non	69	0	0	na
1344	32	non	70	110	0	na
1438	94	non	70	0	0	na
1440	2	non	72	110	0	na
1534	94	non	72	0	0	na
1728	194	non	74	110	0	na
1888	160	non	74	0	0	na
1920	32	non	72	110	0	na
2080	160	non	72	0	0	na
2304	224	non	70	110	0	na
2464	160	non	70	0	0	na
2496	32	non	72	110	0	na
2656	160	non	72	0	0	na
2880	224	non	70	110	0	na
2974	94	non	70	0	0	na
2976	2	non	72	110	0	na
3070	94	non	72	0	0	na
3072	2	non	74	110	0	na
3232	160	non	74	0	0	na
3264	32	non	72	110	0	na
3358	94	non	72	0	0	na
3360	2	non	70	110	0	na
3454	94	non	70	0	0	na
3456	2	non	70	110	0	na
3616	160	non	70	0	0	na
3648	32	non	70	110	0	na
3808	160	non	70	0	0	na
3840	32	non	72	110	0	na
3934	94	non	72	0	0	na
3936	2	non	70	110	0	na
4030	94	non	70	0	0	na
4032	2	non	69	110	0	na
4126	94	non	69	0	0	na
4128	2	non	70	110	0	na
4222	94	non	70	0	0	na
4224	2	non	72	110	0	na
4384	160	non	72	0	0	na
4416	32	non	75	110	0	na
4576	160	non	75	0	0	na
4608	32	non	74	110	0	na
4702	94	non	74	0	0	na
4704	2	non	72	110	0	na
4798	94	non	72	0	0	na
4800	2	non	74	110	0	na
4960	160	non	74	0	0	na
4992	32	non	72	110	0	na
5152	160	non	72	0	0	na
5184	32	non	70	110	0	na
5344	160	non	70	0	0	na
5376	32	non	72	110	0	na
5728	352	non	72	0	0	na
5952	224	non	74	110	0	na
6046	94	non	74	0	0	na
6048	2	non	72	110	0	na
6142	94	non	72	0	0	na
6144	2	non	70	110	0	na
6238	94	non	70	0	0	na
6240	2	non	72	110	0	na
6334	94	non	72	0	0	na
6336	2	non	72	110	0	na
6496	160	non	72	0	0	na
6528	32	non	70	110	0	na
6688	160	non	70	0	0	na
6720	32	non	69	110	0	na
6880	160	non	69	0	0	na
6912	32	non	70	110	0	na
7072	160	non	70	0	0	na
7488	416	non	70	110	0	na
7648	160	non	70	0	0	na
7680	32	non	72	110	0	na
7840	160	non	72	0	0	na
7872	32	non	74	110	0	na
8032	160	non	74	0	0	na
8064	32	non	72	110	0	na
8158	94	non	72	0	0	na
8160	2	non	70	110	0	na
8254	94	non	70	0	0	na
8256	2	non	72	110	0	na
8416	160	non	72	0	0	na
8448	32	non	74	110	0	na
8542	94	non	74	0	0	na
8544	2	non	75	110	0	na
8638	94	non	75	0	0	na
8640	2	non	75	110	0	na
8800	160	non	75	0	0	na
8832	32	non	74	110	0	na
8992	160	non	74	0	0	na
9024	32	non	72	110	0	na
9184	160	non	72	0	0	na
9216	32	non	70	110	0	na
9310	94	non	70	0	0	na
9312	2	non	72	110	0	na
9406	94	non	72	0	0	na
9408	2	non	72	110	0	na
9744	336	non	72	0	0	na
9792	48	non	70	110	0	na
9952	160	non	70	0	0	na
9984	32	non	69	110	0	na
10144	160	non	69	0	0	na
10176	32	non	70	110	0	na
10512	336	non	70	0	0	na
10944	432	non	69	110	0	na
11104	160	non	69	0	0	na
11136	32	non	70	110	0	na
11296	160	non	70	0	0	na
11328	32	non	72	110	0	na
11488	160	non	72	0	0	na
11520	32	non	70	110	0	na
11614	94	non	70	0	0	na
11616	2	non	69	110	0	na
11710	94	non	69	0	0	na
11712	2	non	74	110	0	na
11806	94	non	74	0	0	na
11808	2	non	72	110	0	na
11902	94	non	72	0	0	na
11904	2	non	70	110	0	na
12064	160	non	70	0	0	na
12096	32	non	69	110	0	na
12256	160	non	69	0	0	na
12288	32	non	70	110	0	na
12382	94	non	70	0	0	na
12384	2	non	72	110	0	na
12478	94	non	72	0	0	na
12480	2	non	74	110	0	na
12574	94	non	74	0	0	na
12576	2	non	72	110	0	na
12670	94	non	72	0	0	na
12672	2	non	72	110	0	na
12832	160	non	72	0	0	na
13056	224	non	70	110	0	na
13216	160	non	70	0	0	na
13248	32	non	72	110	0	na
13408	160	non	72	0	0	na
13632	224	non	70	110	0	na
13726	94	non	70	0	0	na
13728	2	non	72	110	0	na
13822	94	non	72	0	0	na
13824	2	non	74	110	0	na
