cumTime	delTime	event	pitch	vel	chan	value
cumTime	delTime	event	pitch	vel	chan	value
1632	1632	non	52	110	1	na
1726	94	non	52	0	1	na
1728	2	non	57	110	1	na
1822	94	non	57	0	1	na
1824	2	non	59	110	1	na
1918	94	non	59	0	1	na
1920	2	non	61	110	1	na
2062	142	non	61	0	1	na
2064	2	non	62	110	1	na
2110	46	non	62	0	1	na
2112	2	non	61	110	1	na
2272	160	non	61	0	1	na
2400	128	non	57	110	1	na
2494	94	non	57	0	1	na
2496	2	non	57	110	1	na
2590	94	non	57	0	1	na
2592	2	non	52	110	1	na
2686	94	non	52	0	1	na
2688	2	non	59	110	1	na
2782	94	non	59	0	1	na
2784	2	non	57	110	1	na
2878	94	non	57	0	1	na
2880	2	non	56	110	1	na
2974	94	non	56	0	1	na
2976	2	non	57	110	1	na
3070	94	non	57	0	1	na
3216	146	non	52	110	1	na
3262	46	non	52	0	1	na
3264	2	non	57	110	1	na
3358	94	non	57	0	1	na
3360	2	non	59	110	1	na
3454	94	non	59	0	1	na
3456	2	non	61	110	1	na
3550	94	non	61	0	1	na
3552	2	non	62	110	1	na
3646	94	non	62	0	1	na
3648	2	non	61	110	1	na
3742	94	non	61	0	1	na
3744	2	non	59	110	1	na
3838	94	non	59	0	1	na
3840	2	non	57	110	1	na
4000	160	non	57	0	1	na
4032	32	non	59	110	1	na
4126	94	non	59	0	1	na
4128	2	non	56	110	1	na
4384	256	non	56	0	1	na
4704	320	non	52	110	1	na
4798	94	non	52	0	1	na
4800	2	non	57	110	1	na
4894	94	non	57	0	1	na
4896	2	non	59	110	1	na
4990	94	non	59	0	1	na
4992	2	non	61	110	1	na
5134	142	non	61	0	1	na
5136	2	non	62	110	1	na
5182	46	non	62	0	1	na
5184	2	non	61	110	1	na
5344	160	non	61	0	1	na
5472	128	non	57	110	1	na
5566	94	non	57	0	1	na
5568	2	non	57	110	1	na
5662	94	non	57	0	1	na
5664	2	non	52	110	1	na
5758	94	non	52	0	1	na
5760	2	non	59	110	1	na
5854	94	non	59	0	1	na
5856	2	non	57	110	1	na
5950	94	non	57	0	1	na
5952	2	non	56	110	1	na
6046	94	non	56	0	1	na
6048	2	non	57	110	1	na
6142	94	non	57	0	1	na
6240	98	non	52	110	1	na
6334	94	non	52	0	1	na
6336	2	non	57	110	1	na
6430	94	non	57	0	1	na
6432	2	non	59	110	1	na
6526	94	non	59	0	1	na
6528	2	non	61	110	1	na
6622	94	non	61	0	1	na
6624	2	non	62	110	1	na
6718	94	non	62	0	1	na
6720	2	non	61	110	1	na
6814	94	non	61	0	1	na
6816	2	non	59	110	1	na
6910	94	non	59	0	1	na
6912	2	non	57	110	1	na
7072	160	non	57	0	1	na
7104	32	non	66	110	1	na
7264	160	non	66	0	1	na
7296	32	non	65	110	1	na
7390	94	non	65	0	1	na
7392	2	non	61	110	1	na
7486	94	non	61	0	1	na
7488	2	non	59	110	1	na
7582	94	non	59	0	1	na
